phi1      Phi     phi2
309.759  155.491  30.3289
336.386  63.4905  59.0034
354.383  107.766  116.719
309.218  71.2625  108.622
282.801  103.430  4.20516
184.816  75.2446  194.366
63.9369  163.078  34.3342
143.492  34.8009  52.7453
48.2153  53.0500  227.211
11.1202  60.5480  309.355
338.091  51.2278  350.720
108.470  103.497  205.502
106.392  76.4344  358.866
119.857  81.3157  199.275
168.145  86.5543  185.565
233.351  116.735  119.046
9.08215  120.182  154.801
303.194  95.5505  177.050
201.252  122.996  25.5734
307.476  52.4901  319.586
125.237  13.5396  23.2681
160.570  160.054  157.027
19.5262  85.9097  297.587
63.7587  145.674  142.032
238.611  52.8299  220.851
119.098  11.9607  294.711
323.455  150.009  319.045
42.5359  28.5024  335.200
355.830  164.503  68.6825
194.394  68.4276  93.0896
254.490  55.4258  323.232
359.817  86.0851  213.610
103.626  39.5815  181.382
149.228  37.0595  220.611
167.342  75.4115  294.992
275.025  136.407  191.480
294.553  124.360  72.7470
36.0798  129.473  163.402
64.1221  156.400  154.048
129.469  141.824  347.779
20.4137  76.5329  223.220
187.879  28.4393  250.340
120.906  106.923  259.259
63.2409  100.296  124.882
75.2208  14.3733  186.117
325.855  26.9808  200.410
243.141  69.3114  56.3383
168.649  12.4181  202.340
328.368  57.7467  250.129
37.4442  109.063  153.524
268.397  71.0487  301.057
265.056  120.775  263.299
202.270  114.141  129.611
66.3099  68.8779  163.516
214.996  86.8073  139.100
107.977  100.184  279.200
48.2843  78.1543  264.338
76.5366  59.9312  154.900
322.179  80.3827  249.751
25.7230  84.0543  340.277
87.2952  80.3784  282.324
19.3516  88.6454  254.006
159.020  146.597  39.3603
4.78195  63.9510  140.375
322.989  7.10913  212.726
70.7969  106.914  165.377
33.6134  19.5212  18.1224
110.652  107.885  82.3275
164.181  39.3680  300.308
36.6010  95.1987  5.63209
358.340  99.9708  310.936
119.553  124.370  28.1049
107.045  138.477  240.855
22.3363  112.468  180.076
107.368  63.1145  78.4778
16.6865  55.5460  205.782
181.954  67.1963  43.9881
274.113  168.636  241.620
227.185  46.6521  215.851
32.3610  32.3640  20.1514
29.1105  57.1864  20.2835
279.807  156.160  54.9002
325.849  104.101  7.06358
192.158  65.8781  156.663
39.2955  62.6757  299.600
297.291  123.466  222.260
121.715  117.509  187.247
105.830  69.7533  310.993
268.673  92.5801  35.1713
3.72118  75.6743  326.899
17.4410  121.810  38.8860
240.450  130.222  186.119
217.248  48.7545  51.5362
189.397  57.7345  201.373
262.695  29.6624  1.64866
254.611  141.649  276.006
281.296  129.460  305.535
103.672  143.303  330.056
249.312  91.1731  355.309
200.401  127.844  181.848
142.747  37.6475  97.7118
22.1726  143.304  36.2702
280.863  155.737  182.826
121.530  83.4200  210.819
218.832  56.9760  274.639
266.851  112.094  29.8666
37.7328  129.944  238.175
46.0398  108.789  186.112
197.834  125.430  61.5773
174.683  88.8365  337.881
320.571  35.6366  212.574
287.626  75.0576  158.628
264.363  142.838  339.091
18.4795  102.609  236.129
26.2387  152.970  162.700
31.8699  89.8530  302.291
287.406  97.8487  191.744
339.483  5.66230  199.399
246.138  51.4494  244.824
47.5499  91.6444  132.188
260.181  37.9176  86.1446
39.7273  136.461  208.412
42.2974  102.708  312.079
230.658  31.2720  146.440
118.373  33.3854  40.5415
235.372  64.7133  159.785
269.687  76.3096  108.066
209.947  108.266  144.499
266.412  29.3017  300.011
84.5377  138.630  145.306
264.585  62.5373  140.463
349.415  72.9651  129.762
312.095  48.2176  50.4919
31.0444  101.738  93.6469
131.917  60.0235  31.2534
132.912  47.8989  154.583
246.610  110.798  92.6218
215.259  84.0003  107.120
284.171  16.6129  152.949
132.355  84.3405  42.9146
74.1700  109.825  178.224
31.2000  76.1758  254.307
277.896  106.184  87.6864
74.0428  59.1349  282.625
139.778  99.9157  26.6722
198.640  90.8772  141.798
82.4232  67.0775  1.22188
231.099  19.0089  79.4437
174.413  110.151  0.46820
54.6644  47.4987  68.1047
281.496  61.4357  51.2943
36.2183  24.7218  96.5074
105.864  159.416  62.9611
85.4543  106.634  49.9136
191.114  71.0158  215.599
32.9395  115.912  324.381
145.914  122.631  338.177
37.7446  65.0228  79.6264
40.4222  75.5730  173.762
282.394  79.5593  135.364
104.965  71.2841  188.561
217.272  154.809  95.3541
347.192  107.604  24.6086
155.695  95.5848  157.078
250.111  121.211  62.5871
272.916  64.5267  9.39856
155.751  44.5724  343.684
235.979  115.912  155.015
39.5118  62.4772  346.161
336.154  136.425  274.469
67.4859  47.6664  2.64552
95.8244  136.286  244.814
287.219  79.8388  254.142
175.537  105.527  232.246
276.825  52.1556  198.832
142.562  89.5667  78.5191
98.2580  91.1925  278.052
13.4045  41.0534  82.0902
242.386  107.081  133.511
154.643  95.8033  320.734
162.626  22.0188  308.296
219.549  156.263  144.876
21.3852  18.9298  114.487
113.692  128.432  219.109
278.180  70.4736  327.670
250.716  80.0447  327.275
45.1196  69.4989  212.974
46.8545  106.138  119.726
33.2468  76.0806  307.103
2.81531  51.5156  159.263
152.319  164.046  325.568
236.006  146.331  11.9446
260.252  18.2675  191.674
191.235  72.3802  257.939
39.1745  122.515  64.5487
227.436  101.129  121.152
45.5400  139.109  67.5767
48.3492  117.589  115.894
35.4939  118.967  145.388
51.1298  109.674  197.484
60.5705  134.070  17.5459
70.6496  107.697  198.984
114.293  139.173  98.9321
113.914  39.7980  86.9406
78.3228  144.237  87.5323
90.3751  30.6743  55.4974
321.452  101.652  344.310
253.160  154.850  336.838
200.066  108.376  294.737
66.3961  61.8402  262.174
76.3311  53.8881  63.2922
27.8449  84.8472  129.734
328.968  68.1334  67.9644
254.417  38.0693  0.43142
200.804  152.926  113.911
112.834  113.121  251.862
59.8333  155.178  225.092
224.099  127.521  195.502
355.657  63.8750  158.053
61.3555  63.6722  103.474
92.8052  40.9223  180.597
142.848  80.5106  274.157
26.6381  149.163  274.467
246.275  32.2756  207.380
144.860  53.0768  269.159
353.821  115.347  232.392
144.786  84.9902  44.3590
223.442  14.1750  181.583
55.5731  64.4463  125.014
137.284  47.3172  33.1732
58.0082  97.6707  53.2258
272.920  93.3681  71.3411
313.600  83.0255  242.017
126.280  117.504  155.344
246.793  60.1298  249.985
105.894  89.5545  92.4424
191.027  72.9252  3.51311
299.672  112.613  191.622
215.096  136.265  100.581
120.712  92.8003  340.643
107.721  105.967  326.320
162.933  54.8144  141.366
152.152  55.9033  8.94788
129.458  70.3043  241.717
200.995  137.138  301.381
267.316  163.115  349.740
152.761  83.1263  20.4958
154.568  113.476  162.117
44.9542  28.4997  209.689
8.79625  15.8862  247.190
104.467  115.262  258.996
114.307  53.0125  234.015
235.328  37.6063  261.689
344.497  78.7522  134.585
336.863  39.8224  209.370
164.839  27.4438  41.8027
86.5722  84.3578  20.7556
275.003  62.8209  352.715
273.358  81.1692  102.537
266.633  161.493  214.191
267.728  96.1388  346.378
